ll: l-l
authority: aut-ho-ri-ty
highly: hig-hly
hunting: hun-ting
emotional: e-mo-tio-nal
shadow: sha-dow
estate: es-tate
agents: a-gents
appears: ap-pears
basement: ba-sement
pleasant: plea-sant
clients: cli-ents
refuse: re-fuse
approach: ap-proach
disappear: di-sap-pear
rabbit: rab-bit
district: dis-trict
champion: cham-pi-on
Watson: Wa-tson
proceed: pro-ceed
stopping: stop-ping
competition: com-pe-ti-tion
forces: for-ces
leading: lea-ding
presence: pre-sence
Rita: Ri-ta
century: cen-tu-ry
capable: ca-pa-ble
convinced: con-vinced
warrant: war-rant
therefore: the-refore
bury: bu-ry
April: A-pril
diamond: dia-mond
services: ser-vi-ces
Monica: Mo-ni-ca
alert: a-lert
Edward: E-dward
Jenny: Jen-ny
transfer: trans-fer
sentence: sen-tence
fabulous: fa-bu-lous
nation: na-tion
butter: but-ter
reporter: re-por-ter
casino: ca-si-no
Potter: Pot-ter
successful: suc-cess-ful
learning: lear-ning
awfully: aw-fully
possibility: pos-si-bi-li-ty
desire: de-sire
nigger: nig-ger
units: u-nits
exchange: exc-hange
drama: dra-ma
series: se-ries
homework: ho-mework
carried: car-ried
entirely: en-ti-re-ly
explanation: ex-pla-na-tion
assure: as-sure
failure: fai-lure
collect: col-lect
Joseph: Jo-seph
swimming: swim-ming
fever: fe-ver
Jordan: Jor-dan
useless: u-seless
journey: jour-ney
delivery: de-li-ve-ry
photos: pho-tos
Barry: Bar-ry
challenge: chal-lenge
soda: so-da
spoken: spo-ken
routine: rou-tine
Teli: Te-li
teaching: teac-hing
result: re-sult
passion: pas-sion
argue: ar-gue
witnesses: wi-tnes-ses
recall: re-call
Barney: Bar-ney
cabin: ca-bin
mental: men-tal
solid: so-lid
article: ar-ti-cle
education: e-du-ca-tion
confidence: con-fi-dence
metal: me-tal
frankly: fran-kly
receive: re-ceive
wounded: woun-ded
anger: an-ger
agency: a-gen-cy
settled: set-tled
escaped: es-caped
suffering: suf-fering
detail: de-tail
supper: sup-per
effort: ef-fort
studying: stu-dy-ing
enemies: e-ne-mies
treatment: trea-tment
commit: com-mit
Dragon: Dra-gon
reputation: re-pu-ta-tion
intelligence: in-tel-li-gence
Gimme: Gim-me
custody: cus-to-dy
ability: a-bi-li-ty
palace: pa-lace
pushing: pus-hing
houses: hou-ses
attempt: at-tempt
lawyers: la-wyers
hurting: hur-ting
stronger: stron-ger
Chloe: Ch-loe
ordinary: or-di-na-ry
presents: pre-sents
considering: con-si-de-ring
laundry: laun-dry
treasure: trea-sure
impressed: im-pressed
customers: cus-to-mers
revenge: re-venge
Bravo: Bra-vo
cowboy: cow-boy
nuclear: nu-cl-ear
motion: mo-tion
virus: vi-rus
forest: fo-rest
Reverend: Re-verend
Noel: No-el
sounded: soun-ded
virgin: vir-gin
fifty: fif-ty
potential: po-ten-tial
defend: de-fend
